TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,MiFIR Identifier Description,ICB Industry,ICB Super-Sector Name,Start date,Country of Incorporation,Trading Currency,LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
SXLU,SSGA SPDR ETFS EUROPE II PLC,SPDR S&P US UTILITIES UCITS ETF,IE00BWBXMB69,ETFS,ETFs,Financials,Financial Services ,42194,Ireland,USD,MAIN MARKET,,EUET,UETY
SXLV,SSGA SPDR ETFS EUROPE II PLC,SPDR S&P US HEALTH CARE UCITS ETF,IE00BWBXM617,ETFS,ETFs,Financials,Financial Services ,42194,Ireland,USD,MAIN MARKET,,EUET,UETY
SXLY,SSGA SPDR ETFS EUROPE II PLC,SPDR S&P US CONSUMER DIS UCITS ETF,IE00BWBXM278,ETFS,ETFs,Financials,Financial Services ,42194,Ireland,USD,MAIN MARKET,,EUET,UETY
TELE,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI EUROPE COMM SERV UCITS ETF,IE00BKWQ0N82,ETFS,ETFs,Financials,Financial Services ,41982,Ireland,EUR,MAIN MARKET,,EUET,UETY
USSC,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI USA SMCAP VALUE WEIGHTED ETF,IE00BSPLC413,ETFS,ETFs,Financials,Financial Services ,42055,Ireland,USD,MAIN MARKET,,EUET,UETY
USVL,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI USA VALUE ETF,IE00BSPLC520,ETFS,ETFs,Financials,Financial Services ,42055,Ireland,USD,MAIN MARKET,,EUET,UETY
UTIL,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI EUROPE UTILITIES UCITS ETF,IE00BKWQ0P07,ETFS,ETFs,Financials,Financial Services ,41982,Ireland,EUR,MAIN MARKET,,EUET,UETY
UVAL,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI USA VALUE ETF,IE00BSPLC520,ETFS,ETFs,Financials,Financial Services ,42055,Ireland,GBP,MAIN MARKET,,EUE2,UE2K
VALW,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI WLD VAL,IE00BJXRT813,ETFS,ETFs,Financials,Financial Services ,44078,Ireland,GBP,MAIN MARKET,,EUE2,UE2K
WCOD,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI WORLD CONS DIS UCITS ETF,IE00BYTRR640,ETFS,ETFs,Financials,Financial Services ,42494,Ireland,USD,MAIN MARKET,,EUET,UETY
WCOS,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI WORLD CONS STAP UCITS ETF,IE00BYTRR756,ETFS,ETFs,Financials,Financial Services ,42494,Ireland,USD,MAIN MARKET,,EUET,UETY
WDSC,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI WORLD SMALL CAP UCITS ETF,IE00BCBJG560,ETFS,ETFs,Financials,Financial Services ,41607,Ireland,USD,MAIN MARKET,,EUET,UETY
WFIN,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI WORLD FINANCIALS UCITS ETF,IE00BYTRR970,ETFS,ETFs,Financials,Financial Services ,42494,Ireland,USD,MAIN MARKET,,EUET,UETY
WHEA,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI WORLD HEALTH CARE UCITS ETF,IE00BYTRRB94,ETFS,ETFs,Financials,Financial Services ,42494,Ireland,USD,MAIN MARKET,,EUET,UETY
WMAT,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI WORLD MATERIALS UCITS ETF,IE00BYTRRF33,ETFS,ETFs,Financials,Financial Services ,42494,Ireland,USD,MAIN MARKET,,EUET,UETY
WNDU,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI WORLD INDUSTRIALS UCITS ETF,IE00BYTRRC02,ETFS,ETFs,Financials,Financial Services ,42494,Ireland,USD,MAIN MARKET,,EUET,UETY
WNRG,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI WORLD ENERGY UCITS ETF,IE00BYTRR863,ETFS,ETFs,Financials,Financial Services ,42494,Ireland,USD,MAIN MARKET,,EUET,UETY
WOSC,SSGA SPDR ETFS EUROPE II PLC,SPDR MSCI WORLD SMALL CAP UCITS ETF,IE00BCBJG560,ETFS,ETFs,Financials,Financial Services ,41607,Ireland,GBP,MAIN MARKET,,EUE2,UE2K
